Interné èíslo;Kat. èíslo rodièa;Kat. èíslo;EAN kód;Vidite¾nı;Vırobca;Názov tovaru;Hlavna kategória;Krátky popis;Dlhı popis;Bená cena;Stará cena;Bená cena bez DPH;Stará cena bez DPH;DPH;Poèet kusov;Váha;Dodacia doba;Min. obj. mnostvo;Body navyše;Obrázky;Popisy k obrázkom 1;Popisy k obrázkom 2;Popisy k obrázkom 3;Popisy k obrázkom 4;Popisy k obrázkom 5;Popisy k obrázkom 6;Popisy k obrázkom 7;Popisy k obrázkom 8;Popisy k obrázkom 9;Súvisiace tovary;Súbory na stiahnutie;SEO titulka;SEO popis;SEO k¾úèové slová;Odporúèanı;Akcia;Vıpredaj;Novinka;Char. Typ navigácie;Char. Poèet farieb displeja;Char. Podporované pamäové karty;Char. Rozlíšenie fotoaparátu;Char. Procesor telefónu;Char. Uhloprieèka displeja;Char. Håbka;Char. Vıška;Char. Štandardné príslušenstvo;Char. Obsiahnuté mapy;Char. Uhloprieèka displeja;Char. Šírka;Char. Hlava;Char. Srdce;Char. Základ
25839001;0;G761903;;1;;"Grilovacia platòa plynová - MAXI";"Stolové zariadenia/Plynové grilovacie platne";"Grilovacia platòa plynová - MAXI
- hladká liatinová grilovacia platòa
- regulovate¾ná teplota od 50°C do 300°C
- na zemnı plyn (trysky na PB pribalené)
- vıkon: 12 kW
- rozmery: 990 x 600 x 280 mm
 
";;1414,5;0;1150;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26409089.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Grilovacia platòa plynová - MAXI - hladká liatinová grilovacia platòa - regulovate¾ná teplota od 50°C do 300°C - na zemnı plyn (trysky na PB pribalené)";"Elektrické grilovacie platne, stolové zariadenia, gril, waflovaè";0;0;0;0;;;;;;;;;;;;;;;
25839000;0;G761902;;1;;"Grilovacia platòa plynová - MEDIUM";"Stolové zariadenia/Plynové grilovacie platne";"Grilovacia platòa plynová - MEDIUM
- hladká liatinová grilovacia platòa
- regulovate¾ná teplota od 50°C do 300°C
- na zemnı plyn (trysky na PB pribalené)
- vıkon: 8 kW
- rozmery: 660 x 600 x 280 mm
 
";;876,99;0;713;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26409088.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Grilovacia platòa plynová - MEDIUM - hladká liatinová grilovacia platòa - regulovate¾ná teplota od 50°C do 300°C - na zemnı plyn (trysky na PB pribalené)";"Elektrické grilovacie platne, stolové zariadenia, gril, waflovaè";0;0;0;0;;;;;;;;;;;;;;;
25838999;0;G761901;;1;;"Grilovacia platòa plynová – MINI";"Stolové zariadenia/Plynové grilovacie platne";"Grilovacia platòa plynová - MINI
- hladká liatinová grilovacia platòa
- regulovate¾ná teplota od 50°C do 300°C
- na zemnı plyn (trysky na PB pribalené)
- vıkon: 4 kW
- rozmery: 330 x 600 x 280 mm
 
";;441,57;0;359;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26409087.jpg;;;;;;;;;;;;[product_name]|GastroPro.sk|;"Grilovacia platòa plynová - MINI - hladká liatinová grilovacia platòa - regulovate¾ná teplota od 50°C do 300°C - na zemnı plyn (trysky na PB pribalené)";"Elektrické grilovacie platne, stolové zariadenia, gril, waflovaè";0;0;0;0;;;;;;;;;;;;;;;
25838941;0;N-STA.745104;;1;;"Grilovacia platòa Caterina - 1/3 ryhovaná+ 2/3 hladká";"Stolové zariadenia/Elektrické grilovacie platne";"- Elektrická grilovacia platòa Caterina ,- 1/3 ryhovaná + 2/3 hladká- vanièka na prebytoènı olej,- rozsah termoregulácie: 50 – 300°C- lišty zachytávajúce prskajúci olej- rozmery: 720x460x240 mm,- vıkon: 3,5 kW / 230 V";;539,97;0;439;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26408978.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Grilovacia platòa Caterina - 1/3 ryhovaná+ 2/3 hladká";"Elektrické grilovacie platne, stolové zariadenia, gril, waflovaè";0;0;0;0;;;;;;;;;;;;;;;
25834956;0;N-STA.742038;;1;;"Kontaktnı gril Caterina PANINI";"Stolové zariadenia/Grily/Elektrické a kontaktné grily";"- E-kontaktnı gril Caterina PANINI- ryhované liatinové platne,- vyrobené z nerezu CNS 18/10- tepelná poistka, vanicka na tuk a zvysky po grilovaní- rozsah termoregulacie: 50°C – 300°C- prípojka: 2,2 kW - 230 V- rozmery: 430 x360 x200 mm";;311,19;0;253;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26402863.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Kontaktnı gril Caterina - PANINI, ryhované liatinové platne, rozsah termoregulacie: 50°C – 300°C";"Fritéza EKO, Fritéza, stolové fritézy, kontaktné grily, panini";0;0;0;0;;;;;;;;;;;;;;;
25834954;0;N-STA.742028;;1;;"Kontaktnı gril Caterina Panini - Double";"Stolové zariadenia/Grily/Elektrické a kontaktné grily";"- E-kontaktnı gril Caterina - DOUBLE- ryhovane liatinove platne-- vyrobene z nerezu CNS 18/10,- tepelna poistka- vanicka na tuk a zvysky po grilovani,- rozsah termoregulacie: 50°C – 300°C -- rozmery: 570x360x200 mm- prípojka: 2 x 1,8 kW - 230 V";;429,27;0;349;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26402825.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Kontaktnı gril Caterina - DOUBLE, ryhovane liatinove platne";"Fritéza EKO, Fritéza, stolové fritézy, kontaktné grily, gril";0;0;0;0;;;;;;;;;;;;;;;
25834946;0;" B765090";;0;;"Stolová fritéza Berto´s 9 litrov";"Stolové zariadenia/Stolové fritézy PROFI";"Stolová fritéza Berto´s 9 litrov 
- s vıpustnım ventilom 
- vhodná pre sústavnı chod
 - objem 9 litrov
 - chladná zóná pod spirálami
 - odnímatelné vyhrievacie teleso 
- rozsah termoregulácie 50°C – 200°C
 - vrátane poistného termostatu
 - prípojka 400 V - 6 kW
 - rozmery 310 x 530 x 310 mm";;774,9;0;630;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26402780.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"[category_name] Fritéza EKO, Fritéza, stolové fritézy";"Fritéza EKO, Fritéza, stolové fritézy";0;0;0;0;;;;;;;;;;;;;;;
25834943;0;N-STA.746042;;1;;"Stolová fritéza Caterina 3,5 l";"Stolové zariadenia/Stolové fritézy Gastromarket EKO";"Stolová fritéza CATERINA 3,5 l -odnímatelné vyhrievacie teleso,rozsah termoregulácie: 0 - 200°C,poistnı termostat - chladná zóna pod spirálami,rozmery: 200x430x265 mm, prípojka: 230 V - 2 kW";;168,51;0;137;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/29869289.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Stolová fritéza Caterina 3,5 l, rozmery: 200x430x265 mm, prípojka: 230 V - 2 kW";"Fritéza EKO, Fritéza, stolové fritézy";0;0;0;0;;;;;;;;;;;;;;;
25834942;0;N-STA.746067;;1;;"Fritéza Caterina 5 l";"Stolové zariadenia/Stolové fritézy Gastromarket EKO";"- novı model- zosilnené koše aj pokrievka- vıklopná h¾ava a tvarovaná fritovacia nádoba pre jednoduché èistenie- vıkon 6 kg/h na vaòu- objem 5 litrov- prípojka: 230V - vıkon 3,2 kW- rozmer: 200x430x265 mm";;179,57999999999998;0;146;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/29869287.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Fritéza Caterina 5 l, vıklopná h¾ava a tvarovaná fritovacia nádoba pre jednoduché èistenie";"Fritéza EKO, Fritéza, stolové fritézy, fritéza bez ventilu";0;0;0;0;;;;;;;;;;;;;;;
25834939;0;N-STA.746096;;1;;"Fritéza Caterina 8 l";"Stolové zariadenia/Stolové fritézy Gastromarket EKO";"- novı model-- s kvalitnım vıpustnım ventilom- zosilnené koše aj pokrievka- vıklopná h¾ava a tvarovaná fritovacia nádoba pre jednoduché èistenie- vıkon 8 kg/h na vaòu- objem 8 litrov- prípojka: 230V - vıkon: 3 kW- rozmer: 300x510x390 mm";;259,53;0;211;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26402767.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Fritéza Caterina 8 l s kvalitnım vıpustnım ventilom, vıkon: 3 kW";"Fritéza EKO, Fritéza, stolové fritézy";0;0;0;0;;;;;;;;;;;;;;;
25834938;0;N-STA.746097;;1;;"Fritéza Caterina 2x8 l";"Stolové zariadenia/Stolové fritézy Gastromarket EKO";"- novı model-- s kvalitnım vıpustnım ventilom- zosilnené koše aj pokrievka- vıklopná h¾ava a tvarovaná fritovacia nádoba pre jednoduché èistenie- vıkon 8 kg/h na vaòu- objem 2x 8 litrov- prípojka: 2x 230V - vıkon 2x 3 kW- rozmer: 610 x510x390 mm";;466,17;0;379;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26402763.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Fritéza Caterina 2x8 l s kvalitnım vıpustnım ventilom";"Fritéza EKO, Fritéza, stolové fritézy, fritéza s ventilom";0;0;0;0;;;;;;;;;;;;;;;
25834936;0;" N-STA.746043";;1;;"Fritéza Caterina 2x3,5 l";"Stolové zariadenia/Stolové fritézy Gastromarket EKO";"- novı model- zosilnené koše aj pokrievka- vıklopná h¾ava a tvarovaná fritovacia nádoba pre jednoduché èistenie- vıkon 6 kg/h na vaòu- objem 3,5+3,5 litrov- prípojka: 2x 230V - vıkon 2x 2 kW- rozmer: 415x430x 265 mm";;293,96999999999997;0;239;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/29869292.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Fritéza Caterina 2x3,5 l, zosilnené koše aj pokrievka";"Fritéza EKO, Fritéza, stolové fritézy";0;0;0;0;;;;;;;;;;;;;;;
25827459;0;554166;;1;;"Plastové stierky – oblé (6 ks)";"Zmrzlina a pekáreò/Stierky a špachtle";"Plastové stierky
– oblé (6 ks)
- uvedená cena je za 6 ks
- rozmery: 12 x 8,8 cm
 
";;5,166;0;4,2;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26394326.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"[category_name] Stierky, špachtle, plastové stierky";"Stierky, špachtle, plastové stierky";0;0;0;0;;;;;;;;;;;;;;;
25827456;0;L212600;;1;;"Stierka tuhá 7,5x15x10cm";"Zmrzlina a pekáreò/Stierky a špachtle";"Stierka tuhá 7,5x15x10cm
 
";;7,1339999999999995;0;5,8;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26394320.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"[category_name] Stierky, špachtle, plastové stierky";"Stierky, špachtle, plastové stierky";0;0;0;0;;;;;;;;;;;;;;;
25827455;0;554364;;1;;"Plastové stierky – štvoruholné (6 ks)";"Zmrzlina a pekáreò/Stierky a špachtle";"Plastové stierky
– štvoruholné (6 ks)
- uvedená cena je za 6 ks
- rozmery: 12 x 9,6 cm
 
";;6,765;0;5,5;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26394318.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"[category_name] Stierky, špachtle, plastové stierky";"Stierky, špachtle, plastové stierky";0;0;0;0;;;;;;;;;;;;;;;
25827453;0;L212000;;1;;"Stierka flexibilná 9,5x11x12cm";"Zmrzlina a pekáreò/Stierky a špachtle";"Stierka flexibilná 9,5x11x12cm
 
";;6,888;0;5,6;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26394310.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"[category_name] Stierky, špachtle, plastové stierky";"Stierky, špachtle, plastové stierky";0;0;0;0;;;;;;;;;;;;;;;
25827449;0;554432;;1;;"Plastové stierky – lichobeník (3 ks)";"Zmrzlina a pekáreò/Stierky a špachtle";"Plastové stierky
– lichobeník (3 ks)
- uvedená cena je za 3 ks
- rozmery: 21,6 x 12,8 cm
 
";;5,166;0;4,2;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26394306.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"[category_name] Stierky, špachtle, plastové stierky";"Stierky, špachtle, plastové stierky";0;0;0;0;;;;;;;;;;;;;;;
25799570;0;589106;;1;;"Koncovky na napåòanie 4ks";"Zmrzlina a pekáreò/Š¾ahaèka";"- obsahuje krátku a dlhú trysku s priemerom 3 a 5 mm
 ";;25,215;0;20,5;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26389456.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Koncovky š¾ahaèkovıch fliaš Profi Line, HENDI, Profi Line";"Vırobník š¾ahaèky, profi vırobník, š¾ahaèka";0;0;0;0;;;;;;;;;;;;;;;
25799568;0;" 589113";;0;;"Set na napåòanie";"Zmrzlina a pekáreò/Š¾ahaèka";"- set sítka a lieviku pre jednoduché napåòanie šlahaèkovej f¾aše bez hrudiek";;31,610999999999997;0;25,7;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26389452.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"[category_name] Vırobník š¾ahaèky, profi vırobník, š¾ahaèka";"Vırobník š¾ahaèky, profi vırobník, š¾ahaèka";0;0;0;0;;;;;;;;;;;;;;;
25799567;0;589205;;1;;"Náhradné diely na sifónové f¾aše na š¾ahaèku, HENDI, Kitchen Line, Profi Line";"Zmrzlina a pekáreò/Š¾ahaèka";"- iba pre PROFI LINE- obsahuje tesnenia, adaptér, 3 trysky, ventil, driak a kefku";;30,134999999999998;0;24,5;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26389451.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";"Náhradné diely na sifónové f¾aše na š¾ahaèku, HENDI, Kitchen Line, Profi Line, 120x30x(H)240mm";"Vırobník š¾ahaèky, profi vırobník, š¾ahaèka";0;0;0;0;;;;;;;;;;;;;;;
25799540;0;588024;;1;;"F¾aša na š¾ahaèku HENDI PROFI LINE - 1 liter";"Zmrzlina a pekáreò/Š¾ahaèka";"- f¾aše urèené na vırobu š¾ahaèky, krémov, omáèok a peny- vhodné na prípravu teplıch krémov do 70 °C- v cene 3 trysky a èistiaca kefka- objem: 1 liter";;109,47;0;89;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26389373.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";;"Vırobník š¾ahaèky, f¾aša na š¾ahaèku, š¾ahaèka";0;0;0;0;;;;;;;;;;;;;;;
25799516;0;588017;;1;;"F¾aša na š¾ahaèku HENDI PROFI LINE - 0,5 liter";"Zmrzlina a pekáreò/Š¾ahaèka";"- f¾aše urèené na vırobu š¾ahaèky, krémov, omáèok a peny- vhodné na prípravu teplıch krémov do 70 °C- v cene 3 trysky a èistiaca kefka- objem: 0,5 liter";;100,245;0;81,5;0;23;1;0,1;;1;0;https://www.gastropro.sk/user/7686/upload/stuff/26389327.jpg;;;;;;;;;;;;"[category_name] |GastroPro.sk|";;"Vırobník š¾ahaèky, profi vırobník, š¾ahaèka, f¾aša na š¾ahaèku";0;0;0;0;;;;;;;;;;;;;;;
