code,name,category,source,field,detected_in_text,param_value,issue_type,severity,description
SIMAG_SDE170W,Výrobník kališkového ľadu chladený vodou SDE 170 W,Gastro Prevádzky a Profesionáli > Bar a kaviareň > Výrobníky a drviče ľadu,forgastro,Rozmery (ŠxHxV),35x29x36,1042x575x892,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 35x29x36 diverge from filter 1042x575x892
SIMAG_SDE170A,Výrobník kališkového ľadu chladený vzduchom SDE 170 A,Gastro Prevádzky a Profesionáli > Bar a kaviareň > Výrobníky a drviče ľadu,forgastro,Rozmery (ŠxHxV),35x29x36,1042x575x892,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 35x29x36 diverge from filter 1042x575x892
SIMAG_SDE100W,Výrobník kališkového ľadu chladený vodou SDE 100 W,Gastro Prevádzky a Profesionáli > Bar a kaviareň > Výrobníky a drviče ľadu,forgastro,Rozmery (ŠxHxV),35x29x36,670x595x892,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 35x29x36 diverge from filter 670x595x892
S778002,Elektrická panvica Stalgast 40 l EKO 700,Gastro Prevádzky a Profesionáli > Varná technika > Sklápacie panvice,core,Rozmery (ŠxHxV),567x472x150,700x786x912,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 567x472x150 diverge from filter 700x786x912
S775415,Mikrovlnná rúra SAMSUNG - 1500W - 2xmagnetrón - digitálne ovládanie,Gastro Prevádzky a Profesionáli > Varná technika > Rýchloohrevné a mikrovlnné rúry,core,Rozmery (ŠxHxV),370x370x190,464x597x368,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 370x370x190 diverge from filter 464x597x368
S775313,Mikrovlnka manuálna 1050 W SAMSUNG,Gastro Prevádzky a Profesionáli > Varná technika > Rýchloohrevné a mikrovlnné rúry,core,Rozmery (ŠxHxV),336x349x225,517x412x297,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 336x349x225 diverge from filter 517x412x297
GUSUP1D-80.V,Vstupný stôl k priebežnej umývačke ARISTARCO – s drezom 800mm,Gastro Prevádzky a Profesionáli > Umývacia technika > Stoly k umývačkám,gastromarket,Rozmery (ŠxHxV),500x400x250,800x760x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x400x250 diverge from filter 800x760x850
GUSUP1D-140.V,Vstupný stôl k priebežnej umývačke ARISTARCO – s drezom 1400mm,Gastro Prevádzky a Profesionáli > Umývacia technika > Stoly k umývačkám,gastromarket,Rozmery (ŠxHxV),500x400x250,1600x760x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x400x250 diverge from filter 1600x760x850
GUSUP1D-100.V,Vstupný stôl k priebežnej umývačke ARISTARCO – s drezom 1000mm,Gastro Prevádzky a Profesionáli > Umývacia technika > Stoly k umývačkám,gastromarket,Rozmery (ŠxHxV),500x400x250,1000x760x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x400x250 diverge from filter 1000x760x850
S563452,Termotaška na pizzu STALGAST XL EKO,Gastro Prevádzky a Profesionáli > Transport a logistika > Termotašky na jedlo a pizzu,core,Rozmery (ŠxHxV),510x500x200,550x500x200,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 510x500x200 diverge from filter 550x500x200
F882355,Barová podpultová chladnička 3x dvere - výška 870 mm,Gastro Prevádzky a Profesionáli > Chladenie a mrazenie > Presklené chladničky,gastromarket,Rozmery (ŠxHxV),1285x370x735,1350x535x870,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 1285x370x735 diverge from filter 1350x535x870
F882255,Barová podpultová chladnička 2x dvere - výška 870 mm,Gastro Prevádzky a Profesionáli > Chladenie a mrazenie > Presklené chladničky,gastromarket,Rozmery (ŠxHxV),835x370x735,900x535x870,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 835x370x735 diverge from filter 900x535x870
F882155,Barová podpultová chladnička 1x dvere - výška 870 mm,Gastro Prevádzky a Profesionáli > Chladenie a mrazenie > Presklené chladničky,gastromarket,Rozmery (ŠxHxV),535x370x735,600x535x870,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 535x370x735 diverge from filter 600x535x870
F843270,Dvojdverový pizza-stôl s vitrínou 10 x GN1/4,Gastro Prevádzky a Profesionáli > Chladenie a mrazenie > Chladiace stoly na pizzu,gastromarket,Príkon (W),0.12 kW (120 W),360,TEXT_PARAM_MISMATCH,WARNING,Text states 0.12 kW (120 W) but filter has 360 W
F843250,Trojdverový  pizza-stôl vitrínou 10 x GN1/4,Gastro Prevádzky a Profesionáli > Chladenie a mrazenie > Chladiace stoly na pizzu,gastromarket,Príkon (W),0.12 kW (120 W),360,TEXT_PARAM_MISMATCH,WARNING,Text states 0.12 kW (120 W) but filter has 360 W
F843200,Dvojdverový  pizza-stôl vitrínou 7 x GN1/4,Gastro Prevádzky a Profesionáli > Chladenie a mrazenie > Chladiace stoly na pizzu,gastromarket,Príkon (W),0.12 kW (120 W),360,TEXT_PARAM_MISMATCH,WARNING,Text states 0.12 kW (120 W) but filter has 360 W
F843032,Trojdverový pizza stôl s vitrínou 6 x GN1/4,Gastro Prevádzky a Profesionáli > Chladenie a mrazenie > Chladiace stoly na pizzu,gastromarket,Príkon (W),0.1 kW (100 W),400,TEXT_PARAM_MISMATCH,WARNING,Text states 0.1 kW (100 W) but filter has 400 W
F787025,Výrobník cestovín FIMAR PF25E,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Stroje na cestoviny,gastromarket,Rozmery (ŠxHxV),300x550x452,300x550x540,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 300x550x452 diverge from filter 300x550x540
F746166,Stolová fritéza FIMAR 2 x 10 litrov - 2x 6kW - s výpustným ventilom,Gastro Prevádzky a Profesionáli > Stolné varné zariadenia > Fritézy,gastromarket,Príkon (W),6.0 kW (6000 W),12000,TEXT_PARAM_MISMATCH,WARNING,Text states 6.0 kW (6000 W) but filter has 12000 W
F725001,Strúhač na tvrdý syr alebo strúhanku Fimar,Gastro Prevádzky a Profesionáli > Príprava surovín > Strúhače a krájače na syr,gastromarket,Rozmery (ŠxHxV),290x250x310,290x250x420,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 290x250x310 diverge from filter 290x250x420
F691150,Cirkulátor SOUS-VIDE FIMAR PROFI,Gastro Prevádzky a Profesionáli > Varná technika > Sous-vide zariadenia,core,Objem (l),,50 L (Gross: 14 L),GEOMETRIC_IMPOSSIBILITY,ERROR,Claimed volume 50L exceeds gross outer volume 14L (240x150x390mm)
ECOVAC_ECOTOP,Vákuový baliaci stroj komorový s jedným programom ECO TOP,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,forgastro,Rozmery (ŠxHxV),460x500x200,560x610x450,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 460x500x200 diverge from filter 560x610x450
ECOVAC_ECOPACK,Vákuový baliaci stroj komorový s jedným programom ECO PACK,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,forgastro,Rozmery (ŠxHxV),410x450x220,470x550x430,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 410x450x220 diverge from filter 470x550x430
ECOVAC_ECOMIX,Vákuový baliaci stroj komorový s jedným programom ECO MIX,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,forgastro,Rozmery (ŠxHxV),310x350x120,420x460x370,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 310x350x120 diverge from filter 420x460x370
ECOVAC_ECOFLEX,Vákuový baliaci stroj komorový s jedným programom ECO FLEX,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,forgastro,Rozmery (ŠxHxV),360x400x190,460x520x420,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 360x400x190 diverge from filter 460x520x420
ECOVAC_ECO50,Vákuový baliaci stroj komorový s deviatimi programami ECO 50 SUPER,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,forgastro,Rozmery (ŠxHxV),520x520x220,620x630x450,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 520x520x220 diverge from filter 620x630x450
ECOVAC_ECO45,Vákuový baliaci stroj komorový s deviatimi programami ECO 45 DIGIT,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,forgastro,Rozmery (ŠxHxV),460x500x220,560x640x450,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 460x500x220 diverge from filter 560x640x450
ECOVAC_ECO40,Vákuový baliaci stroj komorový s deviatimi programami ECO 40 DIGIT,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,forgastro,Rozmery (ŠxHxV),410x450x220,510x590x450,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 410x450x220 diverge from filter 510x590x450
ECOVAC_ECO30,Vákuový baliaci stroj komorový s deviatimi programami ECO 30 DIGIT,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,forgastro,Rozmery (ŠxHxV),310x350x190,410x490x420,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 310x350x190 diverge from filter 410x490x420
ECOVAC_ECO25,Vákuový baliaci stroj komorový s deviatimi programami ECO 25 DIGIT,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,forgastro,Rozmery (ŠxHxV),260x300x160,360x430x400,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 260x300x160 diverge from filter 360x430x400
E970043,Vákuovací stroj komorový FIMAR 500,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,gastromarket,Rozmery (ŠxHxV),520x520x220,610x630x500,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 520x520x220 diverge from filter 610x630x500
E970041,Vakuovací stroj komorový Fimar 300 mm,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,gastromarket,Rozmery (ŠxHxV),310x350x190,460x410x430,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 310x350x190 diverge from filter 460x410x430
E970040,Vákuovací stroj  komorový FIMAR 250 mm,Gastro Prevádzky a Profesionáli > Skladovanie a balenie > Vákuové baličky,gastromarket,Rozmery (ŠxHxV),260x300x110,320x500x270,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 260x300x110 diverge from filter 320x500x270
C977300,Plynový WOK sporák 1500x700,Gastro Prevádzky a Profesionáli > Varná technika > WOK panvice a sporáky,gastromarket,Príkon (W),14.0 kW (14000 W),49000,TEXT_PARAM_MISMATCH,WARNING,Text states 14.0 kW (14000 W) but filter has 49000 W
C977200,Plynový WOK CASTA - 2x 14kW horáky - 1000x700x275 mm,Gastro Prevádzky a Profesionáli > Varná technika > WOK panvice a sporáky,gastromarket,Príkon (W),14.0 kW (14000 W),28000,TEXT_PARAM_MISMATCH,WARNING,Text states 14.0 kW (14000 W) but filter has 28000 W
C781759,Plynová Pizzapec CUPPONE Giorgone 9 x 36,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),1080x1080x185,1590x1480x810,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 1080x1080x185 diverge from filter 1590x1480x810
C781756,Plynová Pizzapec CUPPONE Giorgone L 6 x 36,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),1080x720x185,1590x1120x810,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 1080x720x185 diverge from filter 1590x1120x810
C781754,Plynová Pizzapec CUPPONE Giorgone 4 x 36,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),720x720x185,1230x1120x810,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 720x720x185 diverge from filter 1230x1120x810
C781618,Pizza pec Donatello 9+9,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Príkon (W),12.6 kW (12600 W),25200,TEXT_PARAM_MISMATCH,WARNING,Text states 12.6 kW (12600 W) but filter has 25200 W
C781618,Pizza pec Donatello 9+9,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),1080x1080x140,1510x1420x780,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 1080x1080x140 diverge from filter 1510x1420x780
C781609,Pizzapec CUPPONE Donatello 9 x 36,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),1080x1080x140,1510x1420x430,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 1080x1080x140 diverge from filter 1510x1420x430
C781608,Pizzapec CUPPONE Donatello 8 x 36,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),720x720x150,1155x1050x784,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 720x720x150 diverge from filter 1155x1050x784
C781607,Pizzapec CUPPONE Donatello L 6 x 36,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),1080x720x150,1515x1050x437,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 1080x720x150 diverge from filter 1515x1050x437
C781604,Pizzapec CUPPONE Donatello 4 x 36,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),720x720x150,1155x1050x437,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 720x720x150 diverge from filter 1155x1050x437
C781508,Pizzapec CUPPONE Tiziano 8 x 36,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),720x720x160,1002x864x700,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 720x720x160 diverge from filter 1002x864x700
C781504,Pizzapec CUPPONE Tiziano 4 x 36,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),720x720x160,1002x864x385,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 720x720x160 diverge from filter 1002x864x385
C781452,Pizzapec CUPPONE Tiziano 2 x 50,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),520x520x140,800x660x690,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 520x520x140 diverge from filter 800x660x690
C781451,Pizzapec CUPPONE Tiziano 1 x 50,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),520x520x140,800x660x390,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 520x520x140 diverge from filter 800x660x390
BG9F6/FE,6 - Plynový sporák a teplovzdusná rúra GN 2/1  - BERTO´S,Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),3.5 kW (3500 W),7500,TEXT_PARAM_MISMATCH,WARNING,Text states 3.5 kW (3500 W) but filter has 7500 W
BG9F4/FE,4 - Plynový sporák so statickou rúrou GN 2/1  - BERTO´S,Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),3.5 kW (3500 W),7500,TEXT_PARAM_MISMATCH,WARNING,Text states 3.5 kW (3500 W) but filter has 7500 W
BG7F6/FE,6 - P-sporák s E-rúrou rada 700 - BERTO´S,Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),3.5 kW (3500 W),7500,TEXT_PARAM_MISMATCH,WARNING,Text states 3.5 kW (3500 W) but filter has 7500 W
BG7F4/FE,4 - P-sporák s E-rúrou rada 700 - BERTO´S,Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),3.5 kW (3500 W),7500,TEXT_PARAM_MISMATCH,WARNING,Text states 3.5 kW (3500 W) but filter has 7500 W
BE9PQ6/FE,"Elektrický sporák 6x3,5 kW s elektrickou rúrou  - BERTO´S",Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),3.5 kW (3500 W),28500,TEXT_PARAM_MISMATCH,WARNING,Text states 3.5 kW (3500 W) but filter has 28500 W
BE9PQ4/FE,"Elektrický sporák 4x3,5 kW s elektrickou rúrou  - BERTO´S",Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),3.5 kW (3500 W),21500,TEXT_PARAM_MISMATCH,WARNING,Text states 3.5 kW (3500 W) but filter has 21500 W
BE9P4M/IND,Indukčný sporák BERTO´s 900 - 4x 5kW,Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),5.0 kW (5000 W),20000,TEXT_PARAM_MISMATCH,WARNING,Text states 5.0 kW (5000 W) but filter has 20000 W
BE7P6/FE,6 - E-sporák s E-rúrou rada 700 - BERTO´S,Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),2.6 kW (2600 W),23100,TEXT_PARAM_MISMATCH,WARNING,Text states 2.6 kW (2600 W) but filter has 23100 W
BE7P4M/IND,Indukcny sporák 4 zony - BERTO´S,Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),3.5 kW (3500 W),14000,TEXT_PARAM_MISMATCH,WARNING,Text states 3.5 kW (3500 W) but filter has 14000 W
BE7P4/FE,4 - E-sporák s E-rúrou rada 700 - BERTO´S,Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),2.6 kW (2600 W),17900,TEXT_PARAM_MISMATCH,WARNING,Text states 2.6 kW (2600 W) but filter has 17900 W
B781522,Pizzapec GASTRO EKO 66,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),1050x700x140,1285x755x590,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 1050x700x140 diverge from filter 1285x755x590
B781504,Pizzapec GASTRO EKO 4,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),700x700x140,950x760x330,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 700x700x140 diverge from filter 950x760x330
98090XXXX,Umývací stôl krytovaný s dvojdrezom a s posuvnými dvierkami 1300x700x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,core,Rozmery (ŠxHxV),500x500x250,1300x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 1300x700x850
98087XXXX,Umývací stôl krytovaný s dvojdrezom a s krídlovými dvierkami 1100x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,core,Rozmery (ŠxHxV),400x400x250,1100x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1100x600x850
98082XXXX,Umývací stôl s dvojdrezom a s policou 1800x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,core,Rozmery (ŠxHxV),400x400x250,1800x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1800x600x850
98074XXXX,Umývací stôl krytovaný s drezom a s posuvnými dvierkami 1200x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,core,Rozmery (ŠxHxV),400x400x250,1200x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1200x600x850
98072XXXX,Umývací stôl krytovaný s drezom a s krídlovými dvierkami 900x700x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,core,Rozmery (ŠxHxV),500x500x250,900x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 900x700x850
98069XXXX,Umývací stôl s jedným drezom a s policou 700x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,core,Rozmery (ŠxHxV),400x400x250,700x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 700x600x850
954797100,Závesný vstupný stôl pravý EKO 201 1000x750x880 mm,Gastro Prevádzky a Profesionáli > Umývacia technika > Stoly k umývačkám,core,Rozmery (ŠxHxV),400x400x250,1000x750x880,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1000x750x880
954797080,Závesný vstupný stôl pravý EKO 201 800x750x880 mm,Gastro Prevádzky a Profesionáli > Umývacia technika > Stoly k umývačkám,core,Rozmery (ŠxHxV),400x400x250,800x750x880,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 800x750x880
954777080,Závesný vstupný stôl ľavý EKO 201 800x750x850 mm,Gastro Prevádzky a Profesionáli > Umývacia technika > Stoly k umývačkám,core,Rozmery (ŠxHxV),400x400x250,800x750x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 800x750x850
954607160,Umývací stôl s dvojdrezom vľavo a policou EKO 201 1600x700x850 mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,core,Rozmery (ŠxHxV),500x500x250,1600x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 1600x700x850
